z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.1269837971308067,0.9717623271481676,0.0071947414646615,0,1,0,100.0,44.44444444444444
0.1755375975221233,0.9594803703883428,0.0012615317718503,0,1,0,100.0,44.44444444444444
0.1503989234032053,0.9956692559309596,0.0010721635525566,0,1,2,100.0,44.44444444444444
0.1747194536919994,0.9641097695470292,0.1639811058154849,0,1,0,100.0,44.44444444444444
0.2818623801249175,0.994757768670456,0.0132864977664721,1,2,4,100.0,44.44444444444444
0.2674909698601711,0.0697960226948306,0.0129976948493586,1,2,4,100.0,44.44444444444444
0.2876771898599213,0.0051782397712693,0.0010646112032443,1,2,4,100.0,44.44444444444444
0.2900042932302485,0.0495113092847653,0.3616222400748154,1,2,4,100.0,44.44444444444444
0.5331772366794195,0.8860880388173882,0.0030916307204209,2,0,4,100.0,44.44444444444444
0.5795892724907624,0.982759564670628,0.0034019513126818,2,0,4,100.0,44.44444444444444
0.5651375686911495,0.9578229407084448,0.0064900468701225,2,0,4,100.0,44.44444444444444
0.5575379172507543,0.9626874908798696,1.0,2,0,4,100.0,44.44444444444444
0.9896817781285516,0.4355330710349951,0.0108015051409165,3,3,12,100.0,44.44444444444444
0.9465616836010904,0.4373080287614236,0.0012951753195412,3,3,13,100.0,44.44444444444444
1.009610788272899,0.4417695831760461,0.0028759356898762,3,3,14,100.0,44.44444444444444
0.9567582996787556,0.4325919945520274,0.0624742200860687,3,3,13,100.0,44.44444444444444
