z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.030930732265592,0.0163567280992171,0.0679102283782678,0,,0,0.0,100.0
0.0774587836835982,0.9919708941335816,0.035666634028231,0,,0,0.0,100.0
0.0444080003296317,0.0228994996113849,1.0,0,,0,0.0,100.0
0.6646092472694158,0.9704040580127667,0.0272066593246323,1,,3,0.0,100.0
0.6632922591027904,0.0163080243908799,0.0218172430708767,1,,3,0.0,100.0
0.7112504626316347,0.9880769791851924,0.1994045796356669,1,,3,0.0,100.0
0.8189929513002469,0.8429404729911717,0.1601968156207247,2,,6,0.0,100.0
0.7630260653008786,0.8080592514261725,0.410681919597032,2,,6,0.0,100.0
0.3178324905633992,0.6410239714478002,0.0471559743841807,3,,8,0.0,100.0
0.3676604679384132,0.6792833705880578,0.2981055198364756,3,,8,0.0,100.0
0.8700269132068532,0.5816086844108863,0.0381575212102655,4,,10,0.0,100.0
0.8760833576082712,0.6228413899257039,0.1985171783082651,4,,10,0.0,100.0
