z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.0308747989939923,0.5775810801103981,0.026643073328837,0,3,0,100.0,48.97959183673469
0.0352276505544189,0.550237406425852,0.0114234831798663,0,3,0,100.0,48.97959183673469
0.0177201804892013,0.6196260882491825,0.0271378648674503,0,3,2,100.0,48.97959183673469
0.0451515815889911,0.5735522305620377,0.7038925206946341,0,3,0,100.0,48.97959183673469
0.797938570788339,0.7626049919346446,0.0027892637085209,1,1,4,100.0,48.97959183673469
0.8674248812646824,0.7390477686368675,0.0069244070560761,1,1,4,100.0,48.97959183673469
0.8308039852541104,0.7451918217718154,0.0036913109149997,1,1,4,100.0,48.97959183673469
0.8521334486521156,0.7608638703171239,1.0,1,1,4,100.0,48.97959183673469
0.6266372783680699,0.6487864820350547,0.0248277662380673,2,0,8,100.0,48.97959183673469
0.6998733737243935,0.6792941573525496,0.0028073024286924,2,0,9,100.0,48.97959183673469
0.7138914258073187,0.5454781584668555,0.0087241317677101,2,0,10,100.0,48.97959183673469
0.7121147969226876,0.6272456390192185,0.2805709987589066,2,0,11,100.0,48.97959183673469
0.6510916090001969,0.741078875956725,0.0039923188038309,3,2,12,100.0,48.97959183673469
0.6311996800736015,0.7292113049461725,0.0031147657439538,3,2,13,100.0,48.97959183673469
0.7256944749418974,0.7457143300728315,0.0110599405360316,3,2,14,100.0,48.97959183673469
0.6281514900682442,0.7325244241029873,0.0415510682832265,3,2,15,100.0,48.97959183673469
