z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.1121433338812358,0.4777287207471437,0.0811604364587948,0,1,0,100.0,100.0
0.0943213726360577,0.4874793747690008,0.036037942804834,0,1,0,100.0,100.0
0.0839583502921246,0.4325656737174252,0.2541831738571756,0,1,0,100.0,100.0
0.025226399015394,0.4804066282335546,0.1170609337791141,0,1,0,100.0,100.0
0.1234349872026547,0.4944315324715305,0.047163283898531,0,1,0,100.0,100.0
0.0755032433461635,0.4448128620737185,0.1203867364088284,0,1,0,100.0,100.0
0.062671032965623,0.4582792541941248,0.0898450513777645,0,1,0,100.0,100.0
0.0527212104964736,0.4337650382752621,0.0235970812281238,0,1,0,100.0,100.0
0.0639843662320741,0.4642608443817967,0.0435317054066167,0,1,0,100.0,100.0
0.0758825589065205,0.4617529195505564,1.0,0,1,0,100.0,100.0
0.955847130773533,0.3023862547546761,0.4364294131482446,1,0,10,100.0,100.0
0.888594214367557,0.296500198085983,0.0568859630409777,1,0,10,100.0,100.0
0.9148075564686776,0.3421506255945661,0.0626010425284445,1,0,10,100.0,100.0
0.8930993812989567,0.3334746955640646,0.0301683386444704,1,0,10,100.0,100.0
0.8984708894186969,0.2875894331990612,0.0209919110069846,1,0,10,100.0,100.0
0.9433880643070488,0.3818441614652291,0.6365471902784319,1,0,10,100.0,100.0
0.900411176698833,0.3237092886322438,0.44635249538275,1,0,10,100.0,100.0
0.9122561630890827,0.3324058286597983,0.0396095110405346,1,0,10,100.0,100.0
0.9482973367133932,0.2927248126574732,0.629939205198326,1,0,10,100.0,100.0
0.9124846945627408,0.3265750294690531,0.736782738361558,1,0,10,100.0,100.0
