z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.0862151718439436,0.0820570878285983,0.0140529476408798,0,0,0,100.0,43.78563283922463
0.0943794166344418,0.1480891643452586,0.0080376147103877,0,0,1,100.0,43.78563283922463
0.0585337278478946,0.1116962365927098,0.0104099911982644,0,0,2,100.0,43.78563283922463
0.0441386406227718,0.1530561471537523,0.0030696719386837,0,0,3,100.0,43.78563283922463
0.0528219988066047,0.1613953048754887,0.0028016511593557,0,0,4,100.0,43.78563283922463
0.0566655347198443,0.1323031281576298,0.0148345359111728,0,0,5,100.0,43.78563283922463
0.4116924379656478,0.2248785243492631,0.0024837711921306,1,1,6,100.0,43.78563283922463
0.3323341585194842,0.198919405646015,0.0022454498644003,1,1,6,100.0,43.78563283922463
0.3920298303407606,0.2008804211546657,0.0097090251928938,1,1,6,100.0,43.78563283922463
0.3493660886236333,0.2429048411818533,0.002444233652511,1,1,6,100.0,43.78563283922463
0.3245310457648004,0.2197371035022051,0.0059745976986053,1,1,6,100.0,43.78563283922463
0.3502755906443269,0.2041506590730966,1.0,1,1,6,100.0,43.78563283922463
0.612171997690448,0.1565313763324182,0.0091233408318501,2,2,12,100.0,43.78563283922463
0.6038979280004909,0.1414499794190409,0.0012773986207755,2,2,13,100.0,43.78563283922463
0.6605556259302237,0.0722016515702018,0.0016737213110259,2,2,14,100.0,43.78563283922463
0.6435559472725859,0.1323954954045924,0.0012750209946822,2,2,15,100.0,43.78563283922463
0.6829093894650821,0.1542674326350241,0.0045067522185545,2,2,16,100.0,43.78563283922463
0.6531148616328022,0.1355192043077687,0.1325473355590826,2,2,15,100.0,43.78563283922463
