z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.7342969027041029,0.8385070036248952,0.0154802085249949,0,0,0,100.0,0.0
0.7533323784145926,0.7910978525728857,0.1030730231925952,0,0,0,100.0,0.0
0.8056616538247082,0.8601734805341048,0.0212105036794525,0,0,0,100.0,0.0
0.7584908560781948,0.7900959840309394,0.3123836092283616,0,0,0,100.0,0.0
0.4591041472505464,0.0429988005107994,0.0223051129390266,1,1,0,100.0,0.0
0.4707584055969477,0.0537529755365627,0.0200752784200716,1,1,0,100.0,0.0
0.4638336188692246,0.0287169151872073,0.0624834298712318,1,1,0,100.0,0.0
0.4726615646798759,0.0312355663368161,0.1328624528491588,1,1,0,100.0,0.0
0.5038821621481732,0.1395659386318616,0.0345522099550176,2,3,0,100.0,0.0
0.5137615034737099,0.0824249098250606,0.0750415975927935,2,3,0,100.0,0.0
0.4609470955897064,0.1132235417618333,0.1017433355896265,2,3,0,100.0,0.0
0.4803079407437423,0.1103153159858688,0.2378191742161909,2,3,0,100.0,0.0
0.3897916814316199,0.9763271114280906,0.0471969426997485,3,2,0,100.0,0.0
0.3365360293333621,0.0071369794827074,0.1176277450194706,3,2,0,100.0,0.0
0.341808210973556,0.9602075715161152,0.0951268560738437,3,2,0,100.0,0.0
0.3369684204825656,0.9826894337530367,1.0,3,2,0,100.0,0.0
