z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.6469955184570418,0.999626741825706,0.0659614316490837,0,3,0,100.0,85.87570621468926
0.6086643827361166,0.959431673540022,0.0157922747564822,0,3,0,100.0,85.87570621468926
0.5667851714414344,0.9910723340293444,0.0214908472242251,0,3,0,100.0,85.87570621468926
0.6153517095362206,0.9930691485417468,1.0,0,3,0,100.0,85.87570621468926
0.3925684505770177,0.94736512847852,0.013528092634467,1,2,4,100.0,85.87570621468926
0.4414878744331969,0.970555336292274,0.029812016410823,1,2,4,100.0,85.87570621468926
0.4222580790761142,0.9410482445584628,0.0552017588721256,1,2,4,100.0,85.87570621468926
0.4244775531228677,0.9448181428766876,0.6719886556565232,1,2,4,100.0,85.87570621468926
0.5880097135203608,0.262435075821518,0.0193388699447655,2,1,8,100.0,85.87570621468926
0.6118865828965411,0.277834970310816,0.0619663650664283,2,1,8,100.0,85.87570621468926
0.5096472501760249,0.2625265569785468,0.0167252791567313,2,1,8,100.0,85.87570621468926
0.5725113985550931,0.2872548911824407,0.6103912182896565,2,1,8,100.0,85.87570621468926
0.7380683285843879,0.9318456494959289,0.0390454112608366,3,0,12,100.0,85.87570621468926
0.7474594094340471,0.8830358914356339,0.0988160745886425,3,0,13,100.0,85.87570621468926
0.7247900949961628,0.9066141349014266,0.0124027891169916,3,0,14,100.0,85.87570621468926
0.7297194804643156,0.9077658645721912,0.1682094576628099,3,0,14,100.0,85.87570621468926
