z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.3685158456998992,0.8414021304544721,0.0012560853221804,0,2,0,100.0,43.78563283922463
0.4097775186198861,0.8612180406843055,0.0034884436749223,0,2,0,100.0,43.78563283922463
0.426669415126036,0.8574215641444963,0.0022637032911133,0,2,0,100.0,43.78563283922463
0.4051954768116981,0.8684896095113742,0.0124202778473289,0,2,0,100.0,43.78563283922463
0.3952960961866606,0.9156797717955516,0.0032889206478702,0,2,0,100.0,43.78563283922463
0.3901046456304454,0.8393883803084282,1.0,0,2,0,100.0,43.78563283922463
0.2539345226803525,0.5923105942839906,0.0132120194639276,1,0,6,100.0,43.78563283922463
0.1644947047371984,0.5546038050462081,0.0026433758607356,1,0,7,100.0,43.78563283922463
0.2107562480546486,0.6188233266420395,0.009004137030381,1,0,8,100.0,43.78563283922463
0.2087712292752382,0.6085727153750041,0.0122400982631576,1,0,9,100.0,43.78563283922463
0.1912915110858983,0.5749546917024984,0.0081609725658406,1,0,10,100.0,43.78563283922463
0.1943561451884047,0.5718243158246535,0.0299218467940548,1,0,10,100.0,43.78563283922463
0.9324850664894052,0.8342490295049286,0.0021657179461549,2,1,12,100.0,43.78563283922463
0.9070097131210856,0.7350857750638681,0.0040434845876367,2,1,13,100.0,43.78563283922463
0.8737638303295403,0.7570789703980929,0.0130283549621555,2,1,14,100.0,43.78563283922463
0.8840766067719873,0.7675835391279544,0.0077169282787637,2,1,15,100.0,43.78563283922463
0.9482944703017036,0.7464775574009124,0.0037889763064025,2,1,16,100.0,43.78563283922463
0.91376744960708,0.7751889145503056,0.0692806736586746,2,1,17,100.0,43.78563283922463
