z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.2393481660234865,0.2309868356806247,0.0218799761460806,0,3,0,100.0,66.66666666666666
0.2212120312239845,0.2084323648564015,0.006362265902494,0,3,0,100.0,66.66666666666666
0.174434246006649,0.2454316647535269,0.0150334822286775,0,3,0,100.0,66.66666666666666
0.2343137237653746,0.238157261911599,0.1153064136154515,0,3,0,100.0,66.66666666666666
0.8693095694003303,0.069664891709487,0.0332039157494634,1,1,4,100.0,66.66666666666666
0.8595687255917704,0.0801530514350326,0.00388181734,1,1,4,100.0,66.66666666666666
0.927593443138206,0.0984863437632132,0.0670188297468019,1,1,4,100.0,66.66666666666666
0.8474821744939524,0.0924001116130066,0.1336692953644479,1,1,4,100.0,66.66666666666666
0.1056659295470514,0.4058808874143451,0.0613553842723018,2,0,0,100.0,66.66666666666666
0.0483896709615533,0.3824525433560492,0.0047807363253611,2,0,0,100.0,66.66666666666666
0.1084118645981067,0.3946977579917342,0.0133137667858621,2,0,0,100.0,66.66666666666666
0.0961467471511569,0.4149757175258883,1.0,2,0,0,100.0,66.66666666666666
0.3137787089737314,0.0605536047347314,0.0373632112921449,3,2,12,100.0,66.66666666666666
0.3102901566365009,0.0640119491708784,0.0087874722668782,3,2,12,100.0,66.66666666666666
0.3116576231371389,0.9975136937809452,0.0608453326747509,3,2,12,100.0,66.66666666666666
0.2942622818207016,0.0211875366981896,0.4302468592248579,3,2,12,100.0,66.66666666666666
