z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.1103680918923955,0.835998371425065,0.0068264490182674,0,4,0,100.0,30.25936599423631
0.0258801456309454,0.8151461651177938,0.0159344479490164,0,4,0,100.0,30.25936599423631
0.0555847054646745,0.8133171331867204,0.0745586769339639,0,4,0,100.0,30.25936599423631
0.3286425543499424,0.3844111778674524,0.0524924674730374,1,3,3,100.0,30.25936599423631
0.3490787463872819,0.4348270150262462,0.0555591906017778,1,3,3,100.0,30.25936599423631
0.3301419585006415,0.434848526006191,0.1391037870077735,1,3,3,100.0,30.25936599423631
0.9159196805585496,0.5464154786956325,0.004112301308054,2,1,3,100.0,30.25936599423631
0.8888416868496221,0.5468069964421498,0.0921976097349676,2,1,3,100.0,30.25936599423631
0.9336980858062836,0.4422642380849935,0.0094564879577219,3,2,3,100.0,30.25936599423631
0.9079085438201292,0.4621705407961333,1.0,3,2,3,100.0,30.25936599423631
0.2415712801623597,0.7523102122483316,0.0045675077594932,4,0,0,100.0,30.25936599423631
0.2404831981114932,0.7328781336074665,0.5807221518980265,4,0,0,100.0,30.25936599423631
