z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.519120244438574,0.8912144193304403,0.0024057929964062,0,3,0,100.0,77.55102040816327
0.4835887924643964,0.9209697826548124,0.0014965563050603,0,3,0,100.0,77.55102040816327
0.5423051665483414,0.8926968855855322,1.0,0,3,0,100.0,77.55102040816327
0.8946748970479957,0.3133948304583695,0.0011682275383974,1,4,3,100.0,77.55102040816327
0.939800304933262,0.3174373436703707,0.0013334631712848,1,4,3,100.0,77.55102040816327
0.9079090747496714,0.3649303349737908,0.5930384006754803,1,4,3,100.0,77.55102040816327
0.2956550390448715,0.2600114736818408,0.0082641999859246,2,2,6,100.0,77.55102040816327
0.2602587206492179,0.2419495942320199,0.0088617124032151,2,2,7,100.0,77.55102040816327
0.9855219406495616,0.56208690339127,0.0019967623927184,3,1,8,100.0,77.55102040816327
0.9385641486665336,0.6038992191353642,0.0224535362107694,3,1,9,100.0,77.55102040816327
0.4062328040270609,0.5790592860460179,0.0043410764117538,4,0,10,100.0,77.55102040816327
0.3725788169902211,0.6156161241334955,0.0112140216443703,4,0,11,100.0,77.55102040816327
