z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.0377806088938442,0.8237418474583906,0.002685855555466,0,0,0,100.0,100.0
0.0036195375279245,0.8252261696600467,0.0353131713354174,0,0,0,100.0,100.0
0.0028699611136363,0.7981075779910913,0.0193972977066818,0,0,0,100.0,100.0
-0.0536619610930765,0.8618494072071315,0.0029945677596239,0,0,0,100.0,100.0
0.0541909684524088,0.7189937685382706,0.0166407723692517,0,0,0,100.0,100.0
0.0223512638345268,0.7719653588615145,0.0102058698331763,0,0,0,100.0,100.0
0.0280501624834045,0.7168655252659527,0.0042555289050718,0,0,0,100.0,100.0
0.077034948077801,0.7729944167210379,0.0054388800633755,0,0,0,100.0,100.0
0.0084771637030387,0.8228354047898695,0.0074126475634244,0,0,0,100.0,100.0
0.0068052104616647,0.7860621612105442,0.7115544068904893,0,0,0,100.0,100.0
0.9150408664028922,0.8155508781090159,0.0031727367824769,1,1,10,100.0,100.0
0.8369169546486332,0.8823110484240926,0.0136374082756184,1,1,10,100.0,100.0
0.930691283515378,0.8632567148849666,0.0089514530855925,1,1,10,100.0,100.0
0.8431937510425755,0.8731658969023354,0.0592979665760481,1,1,10,100.0,100.0
0.8611315332810624,0.8932369087698017,0.6935622516320417,1,1,10,100.0,100.0
0.9115346749186802,0.8552262534130108,0.0029685858765378,1,1,10,100.0,100.0
0.9460398976899268,0.8038809113215835,0.0026452550121926,1,1,10,100.0,100.0
0.8904321167919814,0.7404759742069533,0.0102692992699594,1,1,10,100.0,100.0
0.7836316527684868,0.8578739822808661,0.00528610869779,1,1,10,100.0,100.0
0.8786563146187779,0.8633655583714613,1.0,1,1,10,100.0,100.0
