z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.412833781427118,0.227857432569014,0.0046098541702066,0,0,0,100.0,100.0
0.4333350813909922,0.2414290322786839,0.0962895498998675,0,0,0,100.0,100.0
0.4054826329340159,0.268075447011419,0.2788785349806507,0,0,0,100.0,100.0
0.4017223802174212,0.2305996809991767,0.0011172140893911,0,0,0,100.0,100.0
0.4129145413570062,0.327999691313631,0.0013251564166228,0,0,0,100.0,100.0
0.4465940895888112,0.2626575637708221,1.0,0,0,0,100.0,100.0
0.8320008450259638,0.6665105811244398,0.0020564668582491,1,1,6,100.0,100.0
0.7799363237453979,0.5833418470153625,0.0050717344395206,1,1,6,100.0,100.0
0.9116928782420723,0.662414084335183,0.0035843411143941,1,1,6,100.0,100.0
0.8157542993342451,0.6806987882584999,0.0215866330239605,1,1,6,100.0,100.0
0.8322022756254351,0.6624059721511001,0.0037297615141322,1,1,6,100.0,100.0
0.8674007893558718,0.6534533761838208,0.545299817187521,1,1,6,100.0,100.0
0.0572334194106543,0.3574133479788392,0.0222683841131581,2,2,12,100.0,100.0
-0.0182670743850635,0.4356838017404515,0.0049840287632848,2,2,12,100.0,100.0
-0.0557219621460386,0.4015562036882599,0.0011480239665781,2,2,12,100.0,100.0
-0.0374224112850077,0.3540275633819026,0.0028365285639546,2,2,12,100.0,100.0
-0.0454258152219848,0.3956004045726387,0.0015410863228049,2,2,12,100.0,100.0
0.0146303285951674,0.391191808747317,0.5210858256889311,2,2,12,100.0,100.0
