z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.8000262147010786,0.2305848745923555,0.0178538093363713,0,3,0,100.0,57.51633986928104
0.7171630378213706,0.3014463156385407,0.0097598360257742,0,3,0,100.0,57.51633986928104
0.7418025873321553,0.2367659235671015,0.0367443155667821,0,3,0,100.0,57.51633986928104
0.7587582661184389,0.2958032797992753,1.0,0,3,0,100.0,57.51633986928104
0.4978967667312209,0.2751402546094423,0.137043872189751,1,1,4,100.0,57.51633986928104
0.4714652181568657,0.2672670823532451,0.0663938431493345,1,1,4,100.0,57.51633986928104
0.3923299726716799,0.2325774928448009,0.0401103695581041,1,1,6,100.0,57.51633986928104
0.4150187630871842,0.2973486073499535,0.2038392345073237,1,1,7,100.0,57.51633986928104
0.8728896840183975,0.0591329966074602,0.052112814853525,2,2,8,100.0,57.51633986928104
0.8713632787380593,0.132357118537902,0.0145767703097881,2,2,8,100.0,57.51633986928104
0.931756906809214,0.136541654310454,0.0098874293377003,2,2,10,100.0,57.51633986928104
0.8836805301684953,0.0702548116307655,0.5156308913335589,2,2,8,100.0,57.51633986928104
0.0474595830888787,0.083363989304538,0.0212213994727535,3,0,12,100.0,57.51633986928104
0.0484248240745684,0.0718136975910976,0.0096134425144509,3,0,13,100.0,57.51633986928104
0.0306084872647237,0.1381463843272118,0.0098095156150314,3,0,14,100.0,57.51633986928104
0.0629843242793116,0.1479892622561421,0.1909526105346334,3,0,14,100.0,57.51633986928104
